num,family,status,P_ours,shape,lit_period,lit_sources,lit_status,sbdb_period,novelty
12315,Padua,CONFIRMED,2.781,1P,,,VIRGIN,,FIRST-DETERMINATION
12537,Baptistina,CANDIDATE,11.0125,1P,,,VIRGIN,,FIRST-DETERMINATION
13081,main belt,CANDIDATE,2.719,1P,5.8500,Cellino+2024,PUBLISHED_SINGLE,,SUPERSEDES-LIT
13163,main belt,CANDIDATE,7.2636,2P,,,VIRGIN,,FIRST-DETERMINATION
13382,Koronis,CONFIRMED,1.868,1P,,,VIRGIN,,FIRST-DETERMINATION
13388,main belt,CONFIRMED,305.594,2P,41.3800,Ďurech+2022a,PUBLISHED_SINGLE,152.06,HARMONIC-RESOLUTION
14039,Ursula,CONFIRMED,2.641,1P,,,VIRGIN,,FIRST-DETERMINATION
14720,main belt,CONFIRMED,108.08,2P,108.1440,Hanuš+2021;Ďurech+2022a,PUBLISHED_AGREEING,,CONFIRMATION
15315,Phocaea,CONFIRMED,12.942,2P,12.9424,Cellino+2024;Gowanlock+2024;McNeill+2023,PUBLISHED_AGREEING,,CONFIRMATION
15427,main belt,CONFIRMED,39.45,1P,,,VIRGIN,,FIRST-DETERMINATION
15991,main belt,CONFIRMED,61.02,2P,61.1371,Lam+2023;Ďurech&Hanuš2023,PUBLISHED_AGREEING,,CONFIRMATION
16513,main belt,CONFIRMED,12.52,1P,,,VIRGIN,26.333,SUPERSEDES-LIT
16549,Dora,CANDIDATE,10.217,2P,10.2153,Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,CONFIRMATION
16785,main belt,CANDIDATE,139.885,1P,283.4000,Ďurech+2022a,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
17569,main belt,CANDIDATE,89.1748,2P,89.1100,Ďurech&Hanuš2023,PUBLISHED_SINGLE,,CONFIRMATION
18067,main belt,CONFIRMED,4.773,1P,3.9980,Cellino+2024,PUBLISHED_SINGLE,,SUPERSEDES-LIT
18070,Phocaea,CONFIRMED,111.7,2P,,,VIRGIN,,FIRST-DETERMINATION
19013,Cameron,CONFIRMED,4.437,1P,,,VIRGIN,,FIRST-DETERMINATION
19144,main belt,CONFIRMED,5.2896,1P,,,VIRGIN,,FIRST-DETERMINATION
19169,Phocaea,CONFIRMED,87.546,2P,88.2365,McNeill+2023,PUBLISHED_SINGLE,,CONFIRMATION
19290,Phocaea,CONFIRMED,65.015,2P,,,VIRGIN,,FIRST-DETERMINATION
22719,Padua,CONFIRMED,4.777,2P,,,VIRGIN,,FIRST-DETERMINATION
22790,main belt,CONFIRMED,19.262,2P,,,VIRGIN,,FIRST-DETERMINATION
22870,main belt,CANDIDATE,4.7626,1P,9.5232,Ďurech+2022a,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
23444,main belt (survey),CONFIRMED,8.592,2P,8.5928,Huang et al. 2026 (KMTNet),PUBLISHED_SINGLE,,CONFIRMATION
23452,Hungaria,CONFIRMED,3.772,Dd,,,VIRGIN,,FIRST-DETERMINATION
24417,main belt,CONFIRMED,3.783,1P,3.7828,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
24687,Hungaria,CONFIRMED,4.0981,Dd,4.0992,McNeill+2023,PUBLISHED_SINGLE,,CONFIRMATION
25316,main belt,CANDIDATE,3.3269,2P,3.3274,Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,CONFIRMATION
27708,main belt,CANDIDATE,98.079,2P,64.3550,Ďurech&Hanuš2023;Ďurech+2022a,CONTESTED,,ARBITRATION(contested-lit)
29909,Phocaea,CONFIRMED,14.38,2P,,,PUBLISHED_AGREEING,,CONFIRMATION
29931,Ursula,CONFIRMED,2.2917,1P,4.6187,Lam+2023;Ďurech+2022a,PUBLISHED_AGREEING,,HARMONIC-RESOLUTION
