num,family,P_adopted_h,shape,status,n_sectors,n_cycles_best,peak_width_frac,P_sigma_h,doubling,decomb,chunked,quarantine
10017,Beltwide7,12.05,1P,CONFIRMED,2,43.45,0.02,0.1,NONE(1P),survived,False,False
1948,Beltwide7,10.7722,2P,CANDIDATE,1,54.49,0.0074,0.02,UNSTATED,survived,False,False
3650,Beltwide7,12.3672,2P,CANDIDATE,1,42.81,0.0095,0.02,UNSTATED,,False,False
58143,Beltwide7,39.16,1P,CANDIDATE,1,13.63,0.0672,1.12,NONE(1P),survived,False,False
10226,Beltwide7,10.12,2P,CONFIRMED,3,56.77,0.0079,0.02,CONVENTION,,False,False
5914,Beltwide7,99.0,1P,CANDIDATE,1,6.47,0.125,5.25,NONE(1P),survived,False,False
5278,Beltwide7,4.996,2P,CONFIRMED,4,126.6,0.0037,0.0,UNSTATED,survived,False,False
3993,Beltwide7,34.468,2P,CONFIRMED,2,17.19,0.0231,0.17,UNSTATED,survived,False,False
1519,Beltwide7,27.35,1P,CONFIRMED,3,17.66,0.0431,0.5,NONE(1P),survived,False,False
1485,Beltwide8,17.8756,1P,CANDIDATE,2,27.24,0.0326,0.25,NONE(1P),survived,False,False
2124,Beltwide8,3.1227,2P,CANDIDATE,1,199.83,0.0021,0.0,UNSTATED,survived,False,False
2465,Beltwide8,16.4918,1P,CANDIDATE,1,17.95,0.0483,0.34,NONE(1P),,False,False
2805,Beltwide8,4.3677,1P,CANDIDATE,1,106.16,0.0079,0.01,NONE(1P),survived,False,False
2878,Beltwide8,20.4854,2P,CANDIDATE,1,29.41,0.0152,0.07,MEASURED,,False,False
3246,Beltwide8,7.184,2P,CONFIRMED,2,82.06,0.0053,0.01,CONVENTION,survived,False,False
3594,Beltwide8,4.608,2P,CONFIRMED,2,132.71,0.0037,0.0,CONVENTION,survived,False,False
4001,Beltwide8,5.009,2P,CANDIDATE,1,5.53,0.0788,0.08,UNSTATED,survived,False,False
5051,Beltwide8,7.2598,1P,CONFIRMED,3,88.66,0.0089,0.03,NONE(1P),,False,False
5074,Beltwide8,12.662,2P,CONFIRMED,2,45.54,0.01,0.03,CONVENTION,survived,False,False
12209,Beltwide8,18.2064,2P,CANDIDATE,1,33.0,0.0131,0.05,UNSTATED,survived,False,False
15991,Beltwide8,61.02,2P,CONFIRMED,3,6.63,0.0541,0.7,UNSTATED,survived,False,False
19144,Beltwide8,5.2896,1P,CONFIRMED,2,112.15,0.0089,0.02,NONE(1P),inconclusive,False,False
24417,Beltwide8,3.783,1P,CONFIRMED,3,154.08,0.0063,0.01,NONE(1P),survived,False,False
38042,Beltwide8,95.4625,1P,CANDIDATE,1,6.3,0.1292,5.24,NONE(1P),survived,False,False
50545,Beltwide8,3.182,2P,CONFIRMED,2,140.64,0.0032,0.0,UNSTATED,survived,False,False
4597,Beltwide7,4.44,1P,CONFIRMED,2,130.75,0.0089,0.02,NONE(1P),survived,False,False
4671,Beltwide7,3.833,2P,CANDIDATE,1,156.77,0.0032,0.0,UNSTATED,survived,False,False
5814,Beltwide7,9.4098,2P,CANDIDATE,1,66.61,0.0074,0.01,UNSTATED,survived,False,False
5185,Beltwide7,204.6,2P,CONFIRMED,3,2.96,0.1386,6.02,CONVENTION,survived,False,False
2886,Beltwide6,107.228,2P,CANDIDATE,3,4.9,0.0866,1.97,UNSTATED,survived,False,False
3168,Beltwide6,3.237,1P,CONFIRMED,3,185.32,0.0047,0.01,NONE(1P),survived,False,False
3278,Beltwide6,5.621,1P,CONFIRMED,2,103.88,0.0084,0.02,NONE(1P),survived,False,False
3396,Beltwide6,61.963,1P,CONFIRMED,4,9.82,0.0919,2.42,NONE(1P),inconclusive,False,False
3532,Beltwide6,12.316,1P,CONFIRMED,4,51.24,0.0147,0.08,NONE(1P),survived,False,False
3858,Beltwide6,7.088,2P,CONFIRMED,2,85.0,0.0058,0.01,UNSTATED,,False,False
4062,Beltwide6,68.442,2P,CONFIRMED,2,8.52,0.0425,0.62,CONVENTION,survived,False,False
4208,Beltwide6,14.2839,1P,CANDIDATE,1,35.2,0.0252,0.15,NONE(1P),survived,False,False
4698,Beltwide6,158.302,2P,CONFIRMED,3,3.51,0.1339,4.5,UNSTATED,survived,False,False
4725,Beltwide6,137.363,2P,CANDIDATE,1,4.37,0.0919,2.68,UNSTATED,survived,False,False
5203,Beltwide6,6.934,2P,CONFIRMED,2,76.41,0.0053,0.01,UNSTATED,survived,False,False
5297,Beltwide6,106.92,2P,CONFIRMED,2,5.3,0.0793,1.8,CONVENTION,inconclusive,False,False
5793,Beltwide6,3.0396,2P,CONFIRMED,2,196.42,0.0026,0.0,UNSTATED,survived,False,False
5990,Beltwide6,8.298,1P,CANDIDATE,2,56.58,0.0126,0.04,NONE(1P),,False,False
6137,Beltwide6,6.9303,2P,CANDIDATE,1,68.83,0.0068,0.01,UNSTATED,,False,False
6658,Beltwide6,5.33,2P,CONFIRMED,3,114.09,0.0042,0.0,CONVENTION,survived,False,False
7463,Beltwide6,12.6112,1P,CANDIDATE,1,17.86,0.042,0.22,NONE(1P),,False,False
8265,Beltwide6,89.552,2P,CONFIRMED,4,5.24,0.0814,1.55,UNSTATED,survived,False,False
9214,Beltwide6,4.782,2P,CONFIRMED,3,121.47,0.0037,0.0,MEASURED,survived,False,False
9594,Beltwide6,2.8866,1P,CANDIDATE,1,114.96,0.0084,0.01,NONE(1P),survived,False,False
18067,Beltwide6,4.773,1P,CONFIRMED,2,127.18,0.0068,0.01,NONE(1P),survived,False,False
22870,Beltwide6,4.7626,1P,CANDIDATE,2,68.05,0.0126,0.03,NONE(1P),survived,False,False
27708,Beltwide6,98.079,2P,CANDIDATE,1,3.45,0.1313,2.73,UNSTATED,survived,False,False
32253,Beltwide9,6.938,2P,CONFIRMED,2,80.57,0.0063,0.01,UNSTATED,survived,False,False
4253,Beltwide9,2.296,1P,CONFIRMED,1,76.46,0.0116,0.01,NONE(1P),,False,False
8602,Beltwide9,10.518,2P,CONFIRMED,2,58.4,0.0079,0.02,CONVENTION,survived,False,False
16513,Beltwide9,12.52,1P,CONFIRMED,3,46.49,0.0184,0.1,NONE(1P),survived,False,False
3828,Beltwide9,3.3204,2P,CONFIRMED,2,144.52,0.0037,0.0,UNSTATED,,False,False
13163,Beltwide9,7.2636,2P,CANDIDATE,1,71.13,0.0079,0.01,UNSTATED,survived,False,False
1395,Beltwide9,22.2611,1P,CANDIDATE,1,6.49,0.1449,1.37,NONE(1P),survived,False,False
6336,Beltwide9,2.5932,1P,CANDIDATE,1,231.1,0.0042,0.0,NONE(1P),,False,False
25316,Beltwide9,3.3269,2P,CANDIDATE,1,53.07,0.0089,0.01,UNSTATED,,False,False
