num,family,status,shape,P_adopted_h,P_phot_h,fourier_order,T0_jd,amp_folded_mag,rms_resid_mag,n_pts,n_sessions,jd_first,jd_last,span_days,cycles_covered,low_confidence,n_apparitions,amp_per_apparition,amp_last_apparition,source,alcdef_T0_jd,alcdef_amp_folded_mag,dT0_h,damp_mag,discrepant
3768,Beltwide5,CANDIDATE,1P,28.1551,28.1551,2,2459666.589228807,0.3013488137074633,0.17072814991629726,2033,1,2459665.647206086,2459691.396978148,25.74977206159383,21.94964782502111,False,1,2459678.789:0.301,0.30134881370746164,raw,,,,,
3774,Beltwide,CONFIRMED,2P,3.5724,1.7862,3,2460718.2334581725,0.15506911076998062,0.4950429921843582,26413,3,2459825.2625303892,2460746.397263582,921.1347331926227,6188.342177982013,False,3,2459836.158:0.205;2460247.251:0.212;2460732.293:0.171,0.17136165267010853,alcdef+raw,2460718.1588842003,0.16923980219230747,-1.7826246657013896,-0.014170691422326853,True
3810,Beltwide4,CONFIRMED,1P,3.857,3.857,2,2459526.0354858544,0.04214190392750624,0.8964180921615461,6323,3,2458570.869613439,2459578.3960402464,1007.5264268075116,6269.28551811778,False,2,2458583.112:0.026;2459552.670:0.220,0.22011680259157615,alcdef+raw,2459526.037702813,0.049186358487174314,-0.05320700258016586,-0.007044454559668074,False
3828,Beltwide9,CONFIRMED,2P,3.3204,1.6602,3,2460519.83077645,0.10266706969687694,0.3501547275241553,6933,2,2459552.6000350467,2460532.402376361,979.8023413144983,7082.055231763631,False,2,2459562.093:0.127;2460525.979:0.131,0.13133615668186296,raw,,,,,
3840,Beltwide4,CONFIRMED,2P,45.098,22.549,2,2459049.755305893,0.3397116795242797,0.06171343642493911,1335,1,2459049.175281635,2459060.397492255,11.222210620064288,5.972172931871545,False,1,2459054.783:0.340,0.3397116795242759,alcdef+raw,2459049.755306375,0.3397993074148995,-1.157820224761963e-05,-8.762789061977916e-05,False
3846,Beltwide9,CANDIDATE,1P,5.1719,5.1719,3,2460014.4952297946,0.24479328428083816,0.06332752083323685,9103,1,2460014.387725308,2460040.3967690207,26.009043712634593,120.69395175916593,False,1,2460027.043:0.245,0.24479328428083827,raw,,,,,
3852,Themis,CONFIRMED,2P,5.798,2.899,3,2460208.8762600035,0.4308787483265052,0.2606770517979325,12051,2,2460208.669207324,2460242.5728737656,33.903666441794485,140.33942645792817,False,1,2460225.649:0.431,0.43087874832651124,alcdef+raw,2460208.755468083,0.430342826331967,-2.898993908941746,0.0005359219945381688,True
3858,Beltwide6,CONFIRMED,2P,7.088,3.544,2,2459307.4835422058,0.3866802082439338,0.20982317467600256,3352,2,2458858.202995646,2459332.397133765,474.1941381189972,1605.623492502248,False,2,2458863.533:0.365;2459319.550:0.392,0.39218341184482963,alcdef+raw,2459307.4835423334,0.38663820529322623,-3.0621886253356934e-06,4.2002950707553666e-05,False
3949,Beltwide3,CONFIRMED,2P,3.622,1.811,2,2459451.990140247,0.16030950836008973,0.3330034047619385,2422,2,2459451.9302235674,2459498.8625277877,46.93230422027409,310.9815851150133,False,1,2459471.230:0.160,0.16036096065938346,alcdef+raw,2459451.9962518746,0.14833224859407612,-0.14667905867099762,0.011977259766013604,True
3993,Beltwide7,CONFIRMED,2P,34.468,17.234,3,2459475.2181820385,0.43830613036403443,0.45816349515245514,3216,2,2459474.171934622,2459524.3972815746,50.22534695267677,34.971809413492004,False,1,2459492.457:0.438,0.43830613036404414,alcdef+raw,2459474.49722675,0.4316789567936117,-17.165073075920343,0.006627173570422751,True
4001,Beltwide8,CANDIDATE,2P,5.009,2.5045,2,2460828.3713258267,0.44088820897400927,0.23339009443952655,423,1,2460828.2440137435,2460829.3992043855,1.155190641991794,5.534952167658825,False,1,2460828.782:0.441,0.44088820897401776,raw,,,,,
4018,Ledger-v18,CANDIDATE,2P,7.476,3.738,3,2459476.380830167,0.28822746529544524,0.3613802825997785,1862,1,2459476.242524167,2459498.8827728615,22.640248694457114,72.68137622618656,False,1,2459486.185:0.288,0.2882274652954383,raw,,,,,
4020,Ledger-v17,CANDIDATE,1P,50.1458,50.1458,3,2460998.7534564347,0.3423553977354282,0.11678911011600844,6031,1,2460997.7421828015,2461014.698321096,16.95613829465583,8.115282218485692,False,1,2461006.117:0.342,0.3423553977354265,raw,,,,,
4062,Beltwide6,CONFIRMED,2P,68.442,34.221,5,2459449.3085508286,0.34482753590788484,0.3944227779679086,3502,2,2459447.7015897036,2459491.355666604,43.654076900333166,15.30782042617101,False,1,2459469.000:0.345,0.34482753590788723,alcdef+raw,2459447.88125025,0.32688920126976473,-34.18678611722588,0.017938334638120113,True
4088,Beltwide4,CONFIRMED,2P,6.454,3.227,2,2460803.0636338205,0.37652873206758364,0.6457392000673949,16086,2,2460802.9789250707,2460881.38606046,78.40713538927957,291.5666639824465,False,1,2460841.899:0.377,0.37652873206758153,alcdef+raw,2460803.1995711247,0.36616464817236555,3.191504698336124,0.01036408389521809,True
4118,Beltwide10,CONFIRMED,2P,8.734,4.367,3,2460585.2940598032,0.08260881976111804,0.06524381596903416,5219,2,2458790.6822738163,2460598.2610194036,1807.5787455872633,4967.012811322913,False,2,2458803.392:0.094;2460591.175:0.094,0.09416150136956733,raw,,,,,
4164,Beltwide4,CANDIDATE,2P,109.468,54.734,2,2460535.8458937313,0.8303836201702077,0.12201300032857867,6918,1,2460534.703321481,2460558.397425889,23.694104407913983,5.1947464628013265,False,1,2460547.126:0.830,0.830383620170206,raw,,,,,
4165,Ledger-v17,CANDIDATE,1P,13.3076,13.3076,3,2460208.643723043,0.30246327521750443,0.11166772707206954,6114,1,2460208.359550335,2460228.8599558193,20.50040548434481,36.972085997796405,False,1,2460218.561:0.302,0.302463275217504,raw,,,,,
4203,Beltwide5,CANDIDATE,2P,6.7662,3.3831,3,2460015.4122012155,0.17625917748735773,0.07915518883091234,9131,2,2458603.1806521206,2460040.3364431006,1437.155790979974,5097.652889881968,False,2,2458613.765:0.140;2460027.271:0.177,0.1766147808513144,raw,,,,,
4208,Beltwide6,CANDIDATE,1P,14.2839,14.2839,2,2459963.2399443123,0.2532330178310361,0.0925519737739701,7021,1,2459962.848324606,2459983.7972832303,20.94895862415433,35.198720726111496,False,1,2459973.536:0.253,0.25324078750309087,raw,,,,,
4253,Beltwide9,CONFIRMED,1P,2.296,2.296,3,2460208.3889310495,0.18168554814979268,0.0894412677316363,3112,2,2458764.7028735755,2460215.6747348495,1450.9718612739816,15166.953253735,False,2,2458767.189:nan;2460212.054:0.177,0.17745034485296945,raw,,,,,
4260,Koronis,CONFIRMED,1P,29.24,29.24,3,2459448.5648385114,0.14979911932709833,0.3548964235260762,5285,2,2459447.6986035113,2459498.8897312433,51.191127731930465,42.0173415036365,False,1,2459474.313:0.150,0.14979911932710374,alcdef+raw,2459448.5605748333,0.14057437413925283,0.10232827439904213,0.009224745187845496,False
4303,Ledger-v17,CONFIRMED,2P,6.136,3.068,4,2459447.771571522,0.5820275775954771,0.6537007006608092,4903,2,2459447.7007518555,2459498.584807102,50.88405524659902,199.02498792672367,False,1,2459473.520:0.582,0.5820275775954834,raw,,,,,
4315,Ledger-v16,CANDIDATE,1P,7.2308,7.2308,3,2459115.9423209927,0.09995112612669342,0.08714573698108372,1411,1,2459115.8971284926,2459131.369638201,15.47250970825553,51.355345604654076,False,1,2459122.035:0.100,0.09995112612669327,raw,,,,,
4331,Beltwide4,CANDIDATE,1P,73.68,73.68,5,2459064.8416957604,0.3341471409529086,0.11208749697715155,2887,1,2459061.9113807604,2459087.0777376336,25.16635687323287,8.197510382160544,False,1,2459074.341:0.334,0.3341471409529057,raw,,,,,
4367,Ledger-v17,CONFIRMED,2P,3.226,1.613,4,2460208.6599842077,0.32148287773204925,0.3408389028174664,15579,2,2460208.635990833,2460258.535715852,49.89972501900047,371.2316802405491,False,1,2460232.891:0.321,0.3214828777320457,raw,,,,,
4482,Phocaea,MARGINAL,1P,53.1,53.1,4,2459853.505855587,0.5039152667014266,1.9035117881433947,14010,5,2458870.452751505,2460835.989277308,1965.5365258026868,888.3780907582766,False,5,2458883.745:0.289;2459322.728:0.281;2459861.927:0.328;2460270.801:0.262;2460832.939:0.286,0.2859210599259495,raw,,,,,
4516,Hoffmeister,CANDIDATE,1P,3.261,3.261,2,2459174.255320674,0.11025235408203256,0.09924959213545505,2387,1,2459174.2443147986,2459194.8001509937,20.555836195126176,151.28490300000865,False,1,2459184.469:0.110,0.11025235408203189,raw,,,,,
4523,Ledger-v16,CONFIRMED,2P,13.162,6.581,3,2460234.517110839,0.5961828402659974,0.687748306590851,15394,2,2460234.44908081,2460801.7923572916,567.3432764816098,1034.5113687554046,False,2,2460246.976:0.578;2460789.045:0.628,0.6278610898987226,raw,,,,,
4539,Ledger-v17,CONFIRMED,2P,3.64,1.82,2,2460239.0138415657,0.06799024369049751,0.3789675347816322,9679,3,2459316.522406865,2460258.5816019704,942.0591951054521,6211.379308387596,False,3,2459324.799:0.132;2459783.065:0.117;2460249.506:0.130,0.13032819683719488,raw,,,,,
4573,Ledger-v16,CONFIRMED,2P,4.238,2.119,3,2461127.1869914895,0.11236361646024473,0.10066199262383656,10567,2,2459797.237145662,2461151.165785598,1353.9286399362609,7667.363699497466,False,2,2459810.667:0.076;2461138.888:0.144,0.1440122119781878,raw,,,,,
